name,gramsPerCup
Beef jerky,90
"Beef noodle soup, canned or ready-to-serve",244
"Beef noodle soup, home recipe",244
Beef salad,182
Beef sausage,138
Beef sausage with cheese,138
"Beef sausage, reduced fat",138
"Beef sausage, reduced sodium",138
"Beef shish kabob with vegetables, excluding potatoes",154
"Beef steak with onions, Puerto Rican style",179
"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",252
"Beef stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",252
"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",252
"Beef stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",252
"Beef stew with potatoes, Puerto Rican style",212
"Beef stew with potatoes, tomato-based sauce, Mexican style",244
"Beef stew with vegetables excluding potatoes, Puerto Rican style",195
"Beef stew, meat with gravy, no potatoes, Puerto Rican style",235
"Beef stew, no potatoes, tomato-based sauce, Mexican style",244
Beef stroganoff,256
Beef stroganoff with noodles,256
"Beef taco filling: beef, cheese, tomato, taco sauce",204
"Beef vegetable soup with potato, pasta, or rice, chunky style, canned, or ready-to-serve",240
"Beef vegetable soup, home recipe, Mexican style",239
Beef with cream or white sauce,256
Beef with gravy,244
Beef with mushroom sauce,256
Beef with soy-based sauce,244
Beef with sweet and sour sauce,252
Beef with tomato-based sauce,249
"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",252
"Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce",249
"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce",252
"Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce",249
"Beef, bacon, cooked",84
"Beef, bacon, reduced sodium, cooked",84
"Beef, brisket",135
"Beef, broth, bouillon, or consomme",240
"Beef, corned",135
"Beef, cow head",135
"Beef, dried, chipped, cooked in fat",128
"Beef, dried, chipped, uncooked",121
"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",249
"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",249
"Beef, for use with vegetables",14
"Beef, ground",125
"Beef, ground, patty",125
"Beef, ground, raw",225
"Beef, ground, with egg and onion",190
"Beef, neck bones",55
"Beef, NFS",135
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",249
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",249
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",162
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",217
"Beef, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",249
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",249
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",249
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",162
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",217
"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",249
"Beef, oxtails",135
"Beef, pot roast",135
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",252
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce",252
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",252
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",252
"Beef, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",252
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",252
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce",252
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",252
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",162
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",252
"Beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",252
"Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce",162
"Beef, prepackaged or deli, luncheon meat",140
"Beef, prepackaged or deli, luncheon meat, reduced sodium",140
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",249
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",249
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; mushroom sauce",249
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",162
"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",217
"Beef, rice, and vegetables excluding carrots, broccoli, and/or dark-green leafy; tomato-based sauce",249
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce",249
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",249
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; mushroom sauce",249
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",162
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",217
"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",249
"Beef, roast",135
"Beef, roast, hash",190
"Beef, sandwich steak",110
"Beef, shortribs",135
"Beef, steak, chuck",135
"Beef, steak, country fried",135
"Beef, steak, cube",135
"Beef, steak, flank",135
"Beef, steak, NFS",135
"Beef, steak, ribeye, lean and fat eaten",135
"Beef, steak, ribeye, lean only eaten",135
"Beef, steak, ribeye, NS as to fat eaten",135
"Beef, steak, round",135
"Beef, steak, sirloin, lean and fat eaten",135
"Beef, steak, sirloin, lean only eaten",135
"Beef, steak, sirloin, NS as to fat eaten",135
"Beef, steak, strip, lean and fat eaten",135
"Beef, steak, strip, lean only eaten",135
"Beef, steak, strip, NS as to fat eaten",135
"Beef, steak, T-bone,  lean and fat eaten",135
"Beef, steak, T-bone, lean only eaten",135
"Beef, steak, T-bone, NS as to fat eaten",135
"Beef, steak, tenderloin",135
"Beef, stew meat",135
"Beef, tofu, and vegetables excluding carrots, broccoli,  and dark-green leafy; no potatoes, soy-based sauce",217
"Beef, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce",217
"Beet greens, cooked",150
"Beet greens, raw",38
"Beets, canned, cooked, fat added",175
"Beets, canned, cooked, no added fat",170
"Beets, canned, reduced sodium, cooked",170
"Beets, fresh, cooked, fat added",175
"Beets, fresh, cooked, no added fat",170
"Beets, NS as to form, cooked",175
"Beets, pickled",170
"Beets, raw",135
Bell Pepper,142
Bell peppers (fresh),142
Berries (frozen),142
"Berries, NFS",150
Better Cheddar Cheese Powder,114
"Bibimbap, Korean",162
Bicarbonate of Soda,288
Biryani with chicken,196
Biryani with meat,196
Biryani with vegetables,172
"Biscayne codfish, Puerto Rican style",175
Biscuit Crumbs,85
Bison,135
"Bitter melon, cooked",130
"Bitter melon, horseradish, jute, or radish leaves, cooked",128
Black bean salad,231
"Black bean soup, home recipe, canned or ready-to-serve",247
Black beans and brown rice,170
"Black beans and rice, from fast food / restaurant",170
Black beans and white rice,170
Black beans with meat,260
"Black beans, from canned, fat added",185
"Black beans, from canned, no added fat",180
"Black beans, from canned, reduced sodium",185
"Black beans, from dried, fat added",185
"Black beans, from dried, no added fat",180
"Black beans, from fast food / restaurant",260
"Black beans, NFS",185
Black Treacle,340
"Blackberries, frozen",150
"Blackberries, raw",150
"Blackeyed peas, from canned",185
"Blackeyed peas, from dried",185
"Blackeyed peas, from frozen",185
"Blackeyed peas, NFS",185
Blood sausage,138
"Bluberries, canned",250
Blue or roquefort cheese dressing,245
"Blue or roquefort cheese dressing, fat free",265
"Blue or roquefort cheese dressing, light",245
Blueberries (dried),156
Blueberries (fresh or frozen),140
"Blueberries, dried",160
"Blueberries, frozen",150
"Blueberries, raw",150
Blueberry juice,241
Blueberry pie filling,260
Blueberry syrup,320
Boiled cider,340
Bologna,140
"Bologna, reduced fat",140
"Bologna, reduced sodium",140
Borscht,245
Bouillabaisse,250
Brains,140
Bran cereal,60
"Bratwurst, with cheese",140
Brazil nuts,133
Bread crumbs (dried),112
Bread crumbs (fresh),84
Bread crumbs (Japanese Panko),50
Bread Flour,120
Bread stuffing,228
Bread stuffing made with egg,170
"Bread, dough, fried",140
"Bread, French or Vienna",45
"Bread, French or Vienna, whole wheat",45
"Bread, gluten free",40
"Bread, gluten free, toasted",40
"Bread, white",40
"Bread, white, toasted",40
"Breadfruit, cooked",170
"Breadsticks, hard, gluten free",46
"Breadsticks, hard, NFS",46
"Breadsticks, hard, reduced sodium",46
"Breadsticks, hard, whole wheat",46
"Broccoflower, cooked",90
"Broccoflower, raw",64
"Broccoli and cauliflower, cooked, fat added",160
"Broccoli and cauliflower, cooked, no added fat",155
Broccoli casserole with noodles,228
Broccoli casserole with rice,228
"Broccoli cheese soup, prepared with milk, home recipe, canned, or ready-to-serve",239
"Broccoli raab, cooked",170
"Broccoli raab, raw",40
"Broccoli salad with cauliflower, cheese, bacon bits, and dressing",154
Broccoli slaw salad,186
"Broccoli soup, prepared with milk, home recipe, canned or ready-to-serve",237
"Broccoli soup, prepared with water, home recipe, canned, or ready-to-serve",239
"Broccoli, cauliflower and carrots, cooked, fat added",160
"Broccoli, cauliflower and carrots, cooked, no added fat",155
"Broccoli, Chinese, cooked",88
"Broccoli, chinese, raw",36
"Broccoli, cooked, from restaurant",160
"Broccoli, fresh, cooked with butter or margarine",160
"Broccoli, fresh, cooked with oil",160
"Broccoli, fresh, cooked, fat added, NS as to fat type",160
"Broccoli, fresh, cooked, no added fat",155
"Broccoli, frozen, cooked with butter or margarine",190
"Broccoli, frozen, cooked with oil",190
"Broccoli, frozen, cooked, fat added, NS as to fat type",190
"Broccoli, frozen, cooked, no added fat",185
"Broccoli, NS as to form, cooked",160
"Broccoli, raw",90
Brown rice (cooked),170
Brown rice flour,128
Brown sugar,213
"Brussels sprouts, fresh, cooked, fat added",160
"Brussels sprouts, fresh, cooked, no added fat",155
"Brussels sprouts, frozen, cooked, fat added",160
"Brussels sprouts, frozen, cooked, no added fat",155
"Brussels sprouts, NS as to form, cooked",160
"Brussels sprouts, raw",90
Buckwheat (whole),170
Buckwheat Flour,120
Buckwheat groats,170
Bulgur,152
"Bulgur, fat added",140
"Bulgur, no added fat",140
"Bulgur, NS as to fat",140
"Burdock, cooked",130
"Burrito bowl, beef or pork",120
"Burrito bowl, beef or pork, with beans",120
"Burrito bowl, beef or pork, with beans and rice",120
"Burrito bowl, beef or pork, with rice",120
"Burrito bowl, chicken",120
"Burrito bowl, chicken, with beans",120
"Burrito bowl, chicken, with beans and rice",120
"Burrito bowl, chicken, with rice",120
"Burrito bowl, NFS",120
"Burrito bowl, with beans",120
"Burrito, beef, cheese",120
"Burrito, beef, with beans and rice, cheese",120
"Burrito, beef, with beans, cheese",120
"Burrito, beef, with rice, cheese",120
"Burrito, cheese only",120
"Burrito, chicken, cheese",120
"Burrito, chicken, with beans and rice, cheese",120
"Burrito, chicken, with beans, cheese",120
"Burrito, chicken, with rice, cheese",120
"Burrito, meat, no cheese",120
"Burrito, meat, with beans and rice, no cheese",120
"Burrito, meat, with beans, no cheese",120
"Burrito, meat, with rice, no cheese",120
"Burrito, NFS",120
"Burrito, pork, cheese",120
"Burrito, pork, with beans and rice, cheese",120
"Burrito, pork, with beans, cheese",120
"Burrito, pork, with rice, cheese",120
"Burrito, with beans and rice, cheese",120
"Burrito, with beans, cheese",120
"Burrito, with beans, no cheese",120
Butter,226
"Butter replacement, liquid",224
"Butter replacement, powder",100
"Butter-oil blend, light",224
"Butter-oil blend, NFS",224
"Butter-oil blend, stick",224
"Butter-oil blend, tub",224
"Butter, light",224
"Butter, NFS",224
"Butter, stick",224
"Butter, tub",224
Buttermilk,236
Buttermilk powder,144
"Buttermilk, fat free (skim)",244
"Buttermilk, whole",244
"Cabbage salad, NFS",220
"Cabbage soup, home recipe, canned or ready-to-serve",245
Cabbage with ham hocks,200
"Cabbage with meat soup, home recipe, canned or ready-to-serve",245
"Cabbage, Chinese, cooked, fat added",175
"Cabbage, Chinese, cooked, no added fat",170
"Cabbage, Chinese, raw",90
"Cabbage, fresh, pickled, Japanese style",150
"Cabbage, green, cooked with butter or margarine",155
"Cabbage, green, cooked with oil",155
"Cabbage, green, cooked, fat added, NS as to fat type",155
"Cabbage, green, cooked, no added fat",150
"Cabbage, green, raw",90
"Cabbage, red, cooked",155
"Cabbage, red, pickled",150
"Cabbage, red, raw",90
"Cabbage, savoy, cooked",155
Cacao,120
Cacao nibs,120
"Cactus, cooked, fat added",155
"Cactus, cooked, no added fat",150
"Cactus, raw",150
Caesar dressing,235
"Caesar dressing, fat free",231
"Caesar dressing, light",240
"Caesar salad, with romaine, no dressing",79
Cake Enhancer,112
"Cake or cupcake, apple",90
"Cake or cupcake, banana",90
"Cake or cupcake, Black Forest",120
"Cake or cupcake, carrot",90
"Cake or cupcake, chocolate with chocolate icing, bakery",90
"Cake or cupcake, chocolate with chocolate icing, from mix",75
"Cake or cupcake, chocolate with white icing, bakery",90
"Cake or cupcake, chocolate with white icing, from mix",75
"Cake or cupcake, chocolate, no icing",50
"Cake or cupcake, coconut",90
"Cake or cupcake, German chocolate",90
"Cake or cupcake, gingerbread",100
"Cake or cupcake, gluten free",90
"Cake or cupcake, lemon",90
"Cake or cupcake, marble",90
"Cake or cupcake, NFS",90
"Cake or cupcake, peanut butter",90
"Cake or cupcake, pumpkin",90
"Cake or cupcake, red velvet",90
"Cake or cupcake, spice",90
"Cake or cupcake, strawberry",90
"Cake or cupcake, white with chocolate icing, bakery",90
"Cake or cupcake, white with chocolate icing, from mix",75
"Cake or cupcake, white with white icing, bakery",90
"Cake or cupcake, white with white icing, from mix",75
"Cake or cupcake, white, no icing",50
"Cake or cupcake, zucchini",90
"Cake, angel food",50
"Cake, Boston cream pie",70
"Cake, chocolate, flourless",120
"Cake, cream",90
"Cake, fruit cake",120
"Cake, jelly roll",100
"Cake, pineapple, upside down",120
"Cake, pound",100
"Cake, sponge",50
"Cake, strawberry shortcake",150
"Cake, torte",120
"Cake, tres leche",120
"Calamari, cooked",135
"Calamari, fried",135
Candied peel,170
"Candy, caramel",160
"Candy, cotton",10
"Candy, fruit flavored pieces",160
"Candy, fruit snacks",160
"Candy, gummy",160
"Candy, hard",160
"Candy, licorice",160
"Candy, marshmallow",40
"Candy, NFS",160
"Candy, non chocolate, other, NFS",160
"Candy, non chocolate, sugar free",160
"Candy, nougat with nuts",160
"Candy, peanut brittle",160
"Candy, sprinkles",160
"Candy, taffy",160
Canned Tomatoes,242
"Cannelloni, cheese- and spinach-filled, no sauce",208
Canola oil,224
"Cantaloupe, raw",155
Caramel,284
Caramel bits,156
Caraway seeds,144
Caribou,135
Carrot Mash,256
Carrot Puree,256
Carrots (diced),142
Carrots (grated),99
Carrots (mashed),256
"Carrots, canned, cooked with butter or margarine",160
"Carrots, canned, cooked with oil",160
"Carrots, canned, cooked, fat added, NS as to fat type",160
"Carrots, canned, cooked, no added fat",155
"Carrots, canned, reduced sodium, cooked with butter or margarine",160
"Carrots, canned, reduced sodium, cooked with oil",160
"Carrots, canned, reduced sodium, cooked, fat added, NS as to fat type",160
"Carrots, canned, reduced sodium, cooked, no added fat",155
"Carrots, cooked, from restaurant",160
"Carrots, fresh, cooked with butter or margarine",160
"Carrots, fresh, cooked with oil",160
"Carrots, fresh, cooked, fat added, NS as to fat type",160
"Carrots, fresh, cooked, no added fat",155
"Carrots, frozen, cooked with butter or margarine",160
"Carrots, frozen, cooked with oil",160
"Carrots, frozen, cooked, fat added, NS as to fat type",160
"Carrots, frozen, cooked, no added fat",155
"Carrots, glazed, cooked",160
"Carrots, NS as to form, cooked",160
"Carrots, raw",120
"Carrots, raw, salad",175
"Carrots, raw, salad with apples",171
Cashews (chopped),113
Cashews (whole),113
"Cashews, honey roasted",130
"Cashews, lightly salted",130
"Cashews, NFS",130
"Cashews, salted",130
"Cashews, unroasted",130
"Cashews, unsalted",130
"Cassava, cooked",160
Caster Sugar,190
Castor Sugar,190
"Cauliflower, fresh, cooked with butter or margarine",160
"Cauliflower, fresh, cooked with oil",160
"Cauliflower, fresh, cooked, fat added, NS as to fat type",160
"Cauliflower, fresh, cooked, no added fat",155
"Cauliflower, frozen, cooked with butter or margarine",190
"Cauliflower, frozen, cooked with oil",190
"Cauliflower, frozen, cooked, fat added, NS as to fat type",190
"Cauliflower, frozen, cooked, no added fat",185
"Cauliflower, NS as to form, cooked",160
"Cauliflower, pickled",125
"Cauliflower, raw",110
Celery,142
Celery (chopped),142
Celery (diced),142
Celery juice,236
"Celery soup, cream of, prepared with water, home recipe, canned or ready-to-serve",244
"Celery, cooked",155
"Celery, pickled",150
"Celery, raw",120
Cereal beverage,240
"Cereal beverage with beet roots, from powdered instant",240
"Cereal or granola bar, chocolate coated, NFS",117
"Cereal, bran flakes, flavored",60
"Cereal, bran flakes, plain",50
"Cereal, chocolate crispy",40
"Cereal, chocolate puffs",35
"Cereal, cinnamon toast",40
"Cereal, cooked, NFS",240
"Cereal, corn flakes, flavored",40
"Cereal, corn flakes, plain",30
"Cereal, corn puffs",25
"Cereal, corn squares",30
"Cereal, corn squares, flavored",40
"Cereal, crunch",35
"Cereal, flavored puffs",30
"Cereal, frosted oats with marshmallows",35
"Cereal, fruit crispy",35
"Cereal, fruit rings",30
"Cereal, granola",110
"Cereal, K's, flavored",35
"Cereal, K's, plain",35
"Cereal, multigrain",50
"Cereal, O's, flavored",40
"Cereal, O's, honey nut",40
"Cereal, O's, multigrain",30
"Cereal, O's, NFS",35
"Cereal, O's, plain",30
"Cereal, oat bran, ready-to-eat",80
"Cereal, oat bunches",45
"Cereal, oat squares",45
"Cereal, other, chocolate",40
"Cereal, other, fruit flavored",40
"Cereal, other, honey",40
"Cereal, other, NFS",35
"Cereal, other, peanut butter",40
"Cereal, other, plain",30
"Cereal, plain puffs",15
"Cereal, ready-to-eat, NFS",35
"Cereal, reduced sugar",35
"Cereal, rice crispy, flavored",40
"Cereal, rice crispy, plain",25
"Cereal, rice squares",30
"Cereal, shredded wheat, flavored",50
"Cereal, shredded wheat, plain",45
"Cereal, wheat flakes",40
"Cereal, wheat squares",60
Ceviche,250
Channa Saag,245
"Chard, cooked",150
"Chard, raw",36
Cheddar (grated),113
"Cheddar cheese soup, home recipe, canned or ready-to-serve",251
Cheese (Feta),114
Cheese (grated),113
Cheese (Ricotta),227
Cheese flavored corn snacks,35
Cheese flavored corn snacks (Cheetos),35
"Cheese flavored corn snacks, reduced fat",35
Cheese pastry puffs,16
"Cheese quiche, meatless",160
"Cheese sauce, for use with vegetables",60
Cheese souffle,95
"Cheese spread, American or Cheddar cheese base",244
"Cheese spread, American or Cheddar cheese base, reduced fat",140
"Cheese spread, cream cheese, light",240
"Cheese spread, cream cheese, regular",240
"Cheese spread, pressurized can",225
"Cheese spread, Swiss cheese base",244
"Cheese,  with wine",113
"Cheese, American",113
"Cheese, American, nonfat or fat free",113
"Cheese, American, reduced fat",113
"Cheese, American, reduced sodium",140
"Cheese, Blue or Roquefort",135
"Cheese, Brick",113
"Cheese, Brie",144
"Cheese, Camembert",246
"Cheese, Cheddar",113
"Cheese, Cheddar, nonfat or fat free",113
"Cheese, Cheddar, reduced fat",113
"Cheese, Cheddar, reduced sodium",113
"Cheese, Colby",113
"Cheese, Colby Jack",113
"Cheese, cottage cheese, with gelatin dessert",240
"Cheese, cottage cheese, with gelatin dessert and fruit",240
