name,gramsPerCup
"Trail mix with pretzels, cereal, or granola",140.0
"Pumpkin seeds, NFS",144.0
"Pumpkin seeds, salted",144.0
"Pumpkin seeds, unsalted",144.0
"Sunflower seeds, plain, unsalted",144.0
"Sunflower seeds, plain, salted",144.0
"Sunflower seeds, flavored",144.0
"Sunflower seeds, NFS",144.0
Flax seeds,168.0
Mixed seeds,145.0
Chia seeds,168.0
"Bread, white",40.0
"Bread, white, toasted",40.0
"Bread, French or Vienna",45.0
"Bread, dough, fried",140.0
Bread stuffing,228.0
Bread stuffing made with egg,170.0
"Breadsticks, hard, NFS",46.0
"Breadsticks, hard, reduced sodium",46.0
Croutons,40.0
Melba toast,30.0
"Bread, French or Vienna, whole wheat",45.0
"Breadsticks, hard, whole wheat",46.0
"Injera, Ethiopian bread",68.0
"Bread, gluten free",40.0
"Bread, gluten free, toasted",40.0
"Breadsticks, hard, gluten free",46.0
"Cornbread, prepared from mix",89.0
"Cornbread, made from home recipe",89.0
Cornbread stuffing,200.0
"Corn pone, baked",89.0
"Gordita/sope shell, plain, no filling",100.0
Hush puppy,152.0
Spoonbread,187.0
"Cake or cupcake, NFS",90.0
"Cake, angel food",50.0
"Cake or cupcake, apple",90.0
"Cake or cupcake, banana",90.0
"Cake or cupcake, Black Forest",120.0
"Cake, Boston cream pie",70.0
"Cake or cupcake, carrot",90.0
"Cake or cupcake, coconut",90.0
"Cheesecake, plain",180.0
"Cheesecake, fruit",180.0
"Cheesecake, chocolate",180.0
"Cake or cupcake, chocolate with white icing, bakery",90.0
"Cake or cupcake, chocolate with white icing, from mix",75.0
"Cake or cupcake, chocolate with chocolate icing, bakery",90.0
"Cake or cupcake, chocolate with chocolate icing, from mix",75.0
"Cake or cupcake, chocolate, no icing",50.0
"Cake or cupcake, German chocolate",90.0
"Cake or cupcake, gluten free",90.0
"Cake, chocolate, flourless",120.0
"Cake, cream",90.0
"Snack cake, chocolate",45.0
"Snack cake, white",45.0
"Cake, fruit cake",120.0
"Cake or cupcake, gingerbread",100.0
Ice cream cake,138.0
"Cake, jelly roll",100.0
"Cake or cupcake, lemon",90.0
"Cake or cupcake, marble",90.0
"Cake or cupcake, peanut butter",90.0
"Cake, pound",100.0
"Cake or cupcake, pumpkin",90.0
"Cake or cupcake, red velvet",90.0
"Cake or cupcake, spice",90.0
"Cake, sponge",50.0
