name,gramsPerCup
"Potato salad, made with light mayonnaise-type salad dressing",275.0
"Potato salad, made with creamy dressing",275.0
"Potato salad, made with light creamy dressing",275.0
"Potato salad, made with Italian dressing",275.0
"Potato salad, made with light Italian dressing",275.0
"Potato salad, made with any type of fat free dressing",275.0
Stewed potatoes,250.0
Stewed potatoes with tomatoes,250.0
"Potato soup, NS as to made with milk or water",244.0
"Potato soup, cream of, prepared with milk",248.0
"Potato soup, prepared with water",244.0
Potato and cheese soup,248.0
Potato chowder,248.0
"Plantain soup, Puerto Rican style",245.0
"Plantain, cooked, no added fat",200.0
"Plantain, cooked with oil",170.0
"Plantain, cooked, fat added, NS as to fat type",170.0
"Plantain, cooked with butter or margarine",170.0
Plantain chips,38.0
"Green banana, cooked in salt water",200.0
"Green banana, fried",170.0
"Cassava, cooked",160.0
Yuca fries,140.0
"Dasheen, cooked",160.0
"Taro, cooked",160.0
Fufu,240.0
"Beet greens, raw",38.0
"Beet greens, cooked",150.0
"Broccoli raab, raw",40.0
"Broccoli raab, cooked",170.0
"Chard, raw",36.0
"Chard, cooked",150.0
"Collards, raw",36.0
"Collards, fresh, cooked, no added fat",130.0
"Collards, frozen, cooked, no added fat",170.0
"Collards, canned, cooked, no added fat",170.0
"Collards, NS as to form, cooked",135.0
"Collards, fresh, cooked, fat added, NS as to fat type",135.0
"Collards, frozen, cooked, fat added, NS as to fat type",175.0
"Collards, fresh, cooked with oil",135.0
"Collards, fresh, cooked with butter or margarine",135.0
"Collards, frozen, cooked with oil",175.0
"Collards, frozen, cooked with butter or margarine",175.0
"Collards, canned, cooked with oil",175.0
"Collards, canned, cooked with butter or margarine",175.0
"Cress, raw",50.0
"Cress, cooked",140.0
"Dandelion greens, raw",55.0
"Dandelion greens, cooked",110.0
"Romaine lettuce, raw",35.0
"Caesar salad, with romaine, no dressing",79.0
"Escarole, cooked",135.0
"Greens, fresh, cooked, no added fat",130.0
"Greens, frozen, cooked, no added fat",170.0
"Greens, NS as to form, cooked",135.0
"Greens, fresh, cooked, fat added",135.0
"Greens, frozen, cooked, fat added",175.0
"Greens, canned, cooked, fat added",175.0
"Kale, raw",25.0
"Kale, fresh, cooked, no added fat",130.0
"Kale, frozen, cooked, no added fat",170.0
"Kale, canned, cooked, no added fat",170.0
"Kale, NS as to form, cooked",135.0
"Kale, fresh, cooked, fat added",135.0
"Kale, frozen, cooked, fat added",175.0
"Lambsquarter, cooked",185.0
"Mustard greens, raw",56.0
"Mustard greens, fresh, cooked, no added fat",140.0
"Mustard greens, frozen, cooked, no added fat",165.0
"Mustard greens, canned, cooked, no added fat",165.0
"Mustard greens, NS as to form, cooked",150.0
"Mustard greens, fresh, cooked, fat added",150.0
"Mustard greens, frozen, cooked, fat added",170.0
"Poke greens, cooked",150.0
"Radicchio, raw",40.0
"Spinach, raw",25.0
"Spinach, fresh, cooked, no added fat",180.0
"Spinach, frozen, cooked, no added fat",215.0
"Spinach, canned, cooked, no added fat",215.0
"Spinach, fresh, cooked with oil",185.0
"Spinach, fresh, cooked with butter or margarine",185.0
"Spinach, NS as to form, cooked",185.0
"Spinach, fresh, cooked, fat added, NS as to fat type",185.0
"Spinach, frozen, cooked, fat added, NS as to fat type",220.0
"Spinach, canned, cooked, fat added, NS as to fat type",220.0
"Spinach, frozen, cooked with oil",220.0
"Spinach, frozen, cooked with butter or margarine",220.0
"Spinach, canned, cooked with oil",220.0
"Spinach, canned, cooked with butter or margarine",220.0
"Spinach, creamed",200.0
Spinach souffle,100.0
Spinach and cheese casserole,200.0
Palak Paneer,200.0
Channa Saag,245.0
"Taro leaves, cooked",150.0
"Turnip greens, fresh, cooked, no added fat",145.0
"Turnip greens, frozen, cooked, no added fat",165.0
"Turnip greens, canned, cooked, no added fat",165.0
"Turrnip greens, NS as to form, cooked",150.0
"Turnip greens, fresh, cooked, fat added",150.0
"Turnip greens, frozen, cooked, fat added",170.0
"Turnip greens, canned, cooked, fat added",170.0
"Watercress, raw",34.0
"Watercress, cooked",142.0
"Bitter melon, horseradish, jute, or radish leaves, cooked",128.0
"Sweet potato, squash, pumpkin, chrysanthemum, or bean leaves, cooked",69.0
"Broccoli, raw",90.0
"Broccoli, cooked, from restaurant",160.0
"Broccoli, fresh, cooked, no added fat",155.0
"Broccoli, frozen, cooked, no added fat",185.0
"Broccoli, NS as to form, cooked",160.0
"Broccoli, fresh, cooked, fat added, NS as to fat type",160.0
"Broccoli, frozen, cooked, fat added, NS as to fat type",190.0
"Broccoli, fresh, cooked with oil",160.0
"Broccoli, fresh, cooked with butter or margarine",160.0
"Broccoli, frozen, cooked with oil",190.0
"Broccoli, frozen, cooked with butter or margarine",190.0
Broccoli casserole with noodles,228.0
Broccoli casserole with rice,228.0
Fried broccoli,85.0
"Broccoli, chinese, raw",36.0
"Broccoli, Chinese, cooked",88.0
"Broccoli soup, prepared with milk, home recipe, canned or ready-to-serve",237.0
"Broccoli soup, prepared with water, home recipe, canned, or ready-to-serve",239.0
"Broccoli cheese soup, prepared with milk, home recipe, canned, or ready-to-serve",239.0
Spinach soup,245.0
"Dark-green leafy vegetable soup with meat, Asian style",228.0
"Dark-green leafy vegetable soup, meatless, Asian style",226.0
"Carrots, raw",120.0
"Carrots, raw, salad",175.0
"Carrots, raw, salad with apples",171.0
"Carrots, cooked, from restaurant",160.0
"Carrots, fresh, cooked, no added fat",155.0
"Carrots, frozen, cooked, no added fat",155.0
"Carrots, canned, cooked, no added fat",155.0
"Carrots, fresh, cooked with oil",160.0
"Carrots, fresh, cooked with butter or margarine",160.0
"Carrots, NS as to form, cooked",160.0
"Carrots, fresh, cooked, fat added, NS as to fat type",160.0
"Carrots, frozen, cooked, fat added, NS as to fat type",160.0
"Carrots, canned, cooked, fat added, NS as to fat type",160.0
"Carrots, frozen, cooked with oil",160.0
"Carrots, frozen, cooked with butter or margarine",160.0
"Carrots, canned, cooked with oil",160.0
"Carrots, canned, cooked with butter or margarine",160.0
"Carrots, glazed, cooked",160.0
"Carrots, canned, reduced sodium, cooked, no added fat",155.0
"Carrots, canned, reduced sodium, cooked, fat added, NS as to fat type",160.0
"Carrots, canned, reduced sodium, cooked with oil",160.0
"Carrots, canned, reduced sodium, cooked with butter or margarine",160.0
"Peas and carrots, fresh, cooked, no added fat",160.0
"Peas and carrots, frozen, cooked, no added fat",160.0
"Peas and carrots, canned, cooked, no added fat",160.0
"Peas and carrots, cooked, NS as to form",165.0
"Peas and carrots, fresh, cooked, fat added",165.0
"Peas and carrots, frozen, cooked, fat added",165.0
"Peas and carrots, canned, cooked, fat added",165.0
"Pumpkin, canned, cooked",245.0
"Pumpkin, cooked",230.0
"Winter squash, raw",140.0
"Winter squash, cooked, no added fat",225.0
"Winter squash, cooked, fat added",230.0
"Squash, winter, souffle",157.0
"Sweet potato, NFS",250.0
"Sweet potato, baked, NS as to fat",250.0
"Sweet potato, baked, no added fat",250.0
"Sweet potato, baked, fat added",250.0
"Sweet potato, boiled, NS as to fat",250.0
"Sweet potato, boiled, no added fat",250.0
"Sweet potato, boiled, fat added",250.0
"Sweet potato, candied",250.0
"Sweet potato, canned, NS as to fat",250.0
"Sweet potato, canned, no added fat",250.0
"Sweet potato, canned, fat added",250.0
"Sweet potato, casserole or mashed",250.0
"Sweet potato fries, NFS",60.0
Sweet potato chips,25.0
"Sweet potato fries, frozen",60.0
"Sweet potato fries, from fresh",60.0
"Sweet potato fries, fast food / restaurant",60.0
"Sweet potato fries, school",60.0
Sweet potato tots,130.0
"Sweet potato tots, fast food / restaurant",130.0
"Sweet potato tots, school",130.0
"Squash, winter type, soup, home recipe, canned, or ready-to-serve",248.0
"Tomatoes, raw",180.0
"Tomatoes, NS as to form, cooked",240.0
"Tomatoes, fresh, cooked",240.0
"Tomatoes, canned, cooked",240.0
"Tomatoes, scalloped",240.0
"Tomatoes, canned, reduced sodium, cooked",240.0
Fried green tomatoes,180.0
"Tomato, green, pickled",142.0
Sun-dried tomatoes,55.0
Ketchup,272.0
"Ketchup, reduced sodium",272.0
"Salsa, NFS",256.0
"Salsa, pico de gallo",240.0
"Salsa, red",256.0
"Salsa, red, homemade",234.0
"Salsa verde or salsa, green",246.0
Spaghetti sauce,260.0
Spaghetti sauce with added vegetables,260.0
"Spaghetti sauce, reduced sodium",260.0
"Spaghetti sauce, fat free",260.0
Vodka sauce with tomatoes and cream,260.0
Barbecue sauce,272.0
Puerto Rican seasoning with ham,240.0
Puerto Rican seasoning with ham and tomato sauce,240.0
Puerto Rican seasoning without ham and tomato sauce,240.0
Tomato aspic,227.0
"Tomato and cucumber salad made with tomato, cucumber, oil, and vinegar",159.0
"Tomato soup, NFS",244.0
"Tomato soup, cream of, prepared with milk",248.0
"Tomato soup, prepared with water, or ready-to-serve",244.0
"Tomato soup, instant type, prepared with water",265.0
"Tomato soup, canned, reduced sodium, prepared with water, or ready-to-serve",244.0
"Tomato beef soup, prepared with water",244.0
"Tomato noodle soup, canned, prepared with water or ready-to-serve",244.0
"Tomato vegetable soup, prepared with water",241.0
"Tomato vegetable soup with noodles, prepared with water",241.0
"Raw vegetable, NFS",120.0
"Sprouts, NFS",56.0
"Alfalfa sprouts, raw",33.0
"Artichoke, raw",150.0
"Asparagus, raw",135.0
"Bean sprouts, raw",90.0
"Green beans, raw",100.0
"Beets, raw",135.0
"Broccoflower, raw",64.0
"Brussels sprouts, raw",90.0
"Cabbage, green, raw",90.0
"Cabbage, Chinese, raw",90.0
"Cabbage, red, raw",90.0
"Cactus, raw",150.0
"Cauliflower, raw",110.0
"Celery, raw",120.0
"Basil, raw",24.0
"Cilantro, raw",16.0
"Corn, raw",150.0
"Cucumber, raw",120.0
"Eggplant, raw",80.0
"Garlic, raw",135.0
"Jicama, raw",130.0
"Kohlrabi, raw",135.0
"Lettuce, raw",35.0
"Lettuce, Boston, raw",25.0
"Lettuce, arugula, raw",20.0
"Mixed salad greens, raw",35.0
"Mushrooms, raw",70.0
"Onions, green, raw",100.0
"Onions, raw",160.0
"Parsley, raw",60.0
"Green peas, raw",145.0
"Pepper, hot chili, raw",150.0
"Pepper, raw, NFS",150.0
"Pepper, sweet, green, raw",150.0
"Pepper, sweet, red, raw",150.0
"Pepper, banana, raw",150.0
"Radish, raw",115.0
"Rutabaga, raw",140.0
"Seaweed, raw",80.0
"Snowpeas, raw",65.0
"Summer squash, yellow, raw",115.0
"Summer squash, green, raw",115.0
"Turnip, raw",130.0
Mixed vegetable juice,246.0
Celery juice,236.0
"Broccoli salad with cauliflower, cheese, bacon bits, and dressing",154.0
Broccoli slaw salad,186.0
"Coleslaw, fast food / restaurant",220.0
Coleslaw,220.0
"Cabbage salad, NFS",220.0
"Coleslaw, with fruit",220.0
Cucumber and vegetable namasu,155.0
"Cucumber salad, made with sour cream dressing",133.0
"Cucumber salad, made with Italian dressing",159.0
Cucumber salad made with cucumber and vinegar,159.0
"Lettuce, salad with assorted vegetables including tomatoes and/or carrots, no dressing",73.0
"Lettuce, salad with assorted vegetables excluding tomatoes and carrots, no dressing",74.0
"Lettuce, salad with avocado, tomato, and/or carrots, with or without other vegetables, no dressing",87.0
"Lettuce, salad with cheese, tomato and/or carrots, with or without other vegetables, no dressing",77.0
"Lettuce, salad with egg, tomato, and/or carrots, with or without other vegetables, no dressing",88.0
"Lettuce, salad with egg, cheese, tomato, and/or carrots, with or without other vegetables, no dressing",79.0
"Lettuce, wilted, with bacon dressing",125.0
"Seven-layer salad, lettuce salad made with a combination of onion, celery, green pepper, peas, mayonnaise, cheese, eggs, and/or bacon",119.0
"Greek Salad, no dressing",105.0
"Spinach salad, no dressing",74.0
"Cobb salad, no dressing",105.0
"Artichoke, fresh, cooked, no added fat",170.0
"Artichoke, canned, cooked, no added fat",170.0
"Artichokes, NS as to form, cooked",175.0
"Asparagus, fresh, cooked, no added fat",180.0
"Asparagus, frozen, cooked, no added fat",180.0
"Asparagus, canned, cooked, no added fat",240.0
"Asparagus, NS as to form, cooked",185.0
"Asparagus, fresh, cooked, fat added, NS as to fat type",185.0
"Asparagus, frozen, cooked, fat added, NS as to fat type",185.0
"Asparagus, canned, cooked, fat added, NS as to fat type",245.0
"Asparagus, fresh, cooked with oil",185.0
"Asparagus, fresh, cooked with butter or margarine",185.0
"Asparagus, frozen, cooked with oil",185.0
"Asparagus, frozen, cooked with butter or margarine",185.0
"Asparagus, canned, cooked with oil",245.0
"Asparagus, canned, cooked with butter or margarine",245.0
"Bamboo shoots, cooked",155.0
"Lima beans, from frozen, no added fat",180.0
"Lima beans, from frozen, fat added",185.0
"Lima beans, from canned",185.0
"Green beans, cooked, from restaurant",145.0
"Green beans, fresh, cooked, no added fat",140.0
"Green beans, frozen, cooked, no added fat",140.0
"Green beans, canned, cooked, no added fat",140.0
"Green beans, NS as to form, cooked",145.0
"Green beans, fresh, cooked, fat added, NS as to fat type",145.0
"Green beans, frozen, cooked, fat added, NS as to fat type",145.0
"Green beans, canned, cooked, fat added, NS as to fat type",145.0
"Green beans, fresh, cooked with oil",145.0
"Green beans, fresh, cooked with butter or margarine",145.0
"Green beans, frozen, cooked with oil",145.0
"Green beans, frozen, cooked with butter or margarine",145.0
"Green beans, canned, cooked with oil",145.0
"Green beans, canned, cooked with butter or margarine",145.0
"Green beans, canned, reduced sodium, cooked, no added fat",140.0
"Green beans, canned, reduced sodium, cooked, fat added, NS as to fat type",145.0
"Green beans, canned, reduced sodium, cooked with oil",145.0
"Green beans, canned, reduced sodium, cooked with butter or margarine",145.0
Fried green beans,145.0
"Yellow string beans, cooked",145.0
"Bean sprouts, cooked",115.0
"Beets, fresh, cooked, no added fat",170.0
"Beets, canned, cooked, no added fat",170.0
"Beets, NS as to form, cooked",175.0
"Beets, fresh, cooked, fat added",175.0
"Beets, canned, cooked, fat added",175.0
"Beets, canned, reduced sodium, cooked",170.0
"Bitter melon, cooked",130.0
"Breadfruit, cooked",170.0
"Broccoflower, cooked",90.0
"Brussels sprouts, fresh, cooked, no added fat",155.0
"Brussels sprouts, frozen, cooked, no added fat",155.0
"Brussels sprouts, NS as to form, cooked",160.0
"Brussels sprouts, fresh, cooked, fat added",160.0
"Brussels sprouts, frozen, cooked, fat added",160.0
"Burdock, cooked",130.0
"Cabbage, Chinese, cooked, no added fat",170.0
"Cabbage, Chinese, cooked, fat added",175.0
"Cabbage, green, cooked, no added fat",150.0
"Cabbage, green, cooked, fat added, NS as to fat type",155.0
"Cabbage, green, cooked with oil",155.0
"Cabbage, green, cooked with butter or margarine",155.0
"Cabbage, red, cooked",155.0
"Cabbage, savoy, cooked",155.0
"Cactus, cooked, no added fat",150.0
"Cactus, cooked, fat added",155.0
"Cauliflower, fresh, cooked, no added fat",155.0
"Cauliflower, frozen, cooked, no added fat",185.0
"Cauliflower, NS as to form, cooked",160.0
"Cauliflower, fresh, cooked, fat added, NS as to fat type",160.0
"Cauliflower, frozen, cooked, fat added, NS as to fat type",190.0
"Cauliflower, fresh, cooked with oil",160.0
"Cauliflower, fresh, cooked with butter or margarine",160.0
"Cauliflower, frozen, cooked with oil",190.0
"Cauliflower, frozen, cooked with butter or margarine",190.0
"Celery, cooked",155.0
"Christophine, cooked",165.0
"Corn, cooked, from restaurant",170.0
"Corn, fresh, cooked, no added fat",165.0
